A,B,C,D,E,F,G,H,O
238,112,112,115,80,131.4,54.82189344,142.3776668,0
236,111,111,115,80,130.6,54.18708333,141.3951909,0
235,111,111,115,100,134.4,50.54740349,143.5910861,0
233,113,113,115,101,135,49.25038071,143.7031663,0
235,113,113,114,100,135,50.26728558,144.0548507,0
232,113,113,115,99,134.4,49.1349163,143.0999651,0
230,113,113,115,95,133.2,48.94241514,141.9070118,0
232,113,113,116,94,133.6,49.81806901,142.5861143,0
230,112,112,116,94,132.8,49.19512171,141.6192077,0
230,111,111,116,93,132.2,49.52332784,141.1715269,0
230,111,111,115,93,132,49.59032164,141.0078012,0
232,112,112,116,94,133.2,49.98559793,142.2701655,0
234,114,114,115,94,134.2,50.51890735,143.3938632,0
232,115,115,117,94,134.6,49.42307154,143.3868892,0
233,115,115,115,93,134.2,50.12943247,143.2571115,0
230,115,115,117,93,134,48.80163932,142.6099576,0
231,114,114,117,93,133.8,49.35341933,142.6120612,0
228,114,114,116,94,133.2,48.07660554,141.6107341,0
225,116,116,116,94,133.4,46.58583476,141.3003892,0
224,116,116,117,94,133.4,46.11984389,141.1474406,0
222,114,114,116,95,132.2,45.54733801,139.8263208,0
219,114,114,114,95,131.2,44.51247016,138.5452995,0
217,114,114,115,96,131.2,43.48516989,138.2186673,0
221,113,113,117,97,132.2,44.92838746,139.6259288,0
222,114,114,117,98,133,44.99777772,140.4058403,0
223,114,114,117,97,133,45.54997256,140.5837828,0
220,113,113,115,97,131.6,44.67482513,138.976257,0
219,113,113,115,98,131.6,44.1252762,138.8005764,0
221,113,113,114,98,131.8,44.99511085,139.2688048,0
220,113,113,115,98,131.8,44.5214555,139.1164979,0
219,111,111,114,99,130.8,44.4,138.1303732,0
219,110,110,114,99,130.4,44.58071332,137.8100141,0
218,111,111,114,100,130.8,43.86068855,137.9579646,0
217,111,111,113,100,130.4,43.54124481,137.4772708,0
214,111,111,112,101,129.8,42.29137028,136.5159331,0
214,110,110,112,100,129.2,42.60704167,136.0441105,0
212,109,109,112,99,128.2,42.13027415,134.9451741,0
210,108,108,112,159,139.4,40.22735388,145.088249,0
210,106,106,113,159,138.8,40.73033268,144.6526875,0
211,106,106,113,158,138.8,40.98487526,144.724566,0
215,106,106,113,157,139.4,42.31595444,145.6811587,0
216,107,107,112,155,139.4,42.33485562,145.68665,0
215,107,107,112,153,138.8,41.83013268,144.966203,0
218,107,107,112,151,139,42.80654156,145.4420847,0
218,107,107,112,150,138.8,42.75230988,145.234982,0
218,107,107,111,153,139.2,43.05531326,145.7065544,0
216,107,107,111,154,139,42.39339571,145.3210239,0
220,106,106,110,153,139,44.21764354,145.8636349,0
221,105,105,112,152,139,44.57353475,145.9719151,0
219,105,105,112,150,138.2,43.7236778,144.9517161,0
218,106,106,112,147,137.8,42.90640978,144.325327,0
216,105,105,111,145,136.4,42.49046952,142.8649712,0
218,105,105,111,144,136.6,43.20462938,143.2696758,0
219,104,104,111,142,136,43.81324001,142.8831691,0
217,104,104,111,140,135.2,43.00418584,141.8745925,0
221,104,104,112,138,135.8,44.39099008,142.8712707,0
222,104,104,112,136,135.6,44.76427147,142.7977591,0
222,104,104,112,136,135.6,44.76427147,142.7977591,0
222,104,104,112,134,135.2,44.7678456,142.4190998,0
221,102,102,112,132,133.8,44.9550887,141.1502745,0
219,102,102,112,132,133.4,44.17963332,140.5254425,0
219,102,102,112,130,133,44.19954751,140.1520603,0
218,101,101,110,130,132,44.28543779,139.2307437,0
216,100,100,112,130,131.6,43.60550424,138.6362146,0
215,100,100,113,128,131.2,43.15275194,138.1144453,0
215,101,101,113,127,131.4,42.88402966,138.2208378,0
214,101,101,113,126,131,42.51587939,137.7265407,0
216,101,101,112,125,131,43.40967634,138.0050724,0
218,101,101,113,126,131.8,44.07901995,138.9755374,0
216,101,101,112,126,131.2,43.38386797,138.1868301,0
215,101,101,111,126,130.8,43.08317537,137.7127445,0
215,102,102,111,126,131.2,42.80841039,138.0072462,0
214,100,100,112,126,130.4,42.88402966,137.2705358,0
215,102,102,114,125,131.6,42.57041226,138.3141352,0
213,102,102,115,124,131.2,41.73919022,137.6793376,0
213,102,102,115,122,130.8,41.81578649,137.3215205,0
213,103,103,115,122,131.2,41.54226763,137.619766,0
212,102,102,114,120,130,41.58845994,136.4902927,0
211,103,103,114,119,130,40.9780429,136.3055391,0
209,103,103,114,119,129.6,40.18756026,135.6878771,0
207,102,102,113,119,128.6,39.74216904,134.6008915,0
207,102,102,113,119,128.6,39.74216904,134.6008915,0
206,102,102,114,118,128.4,39.32225833,134.2862614,0
204,101,101,113,119,127.6,38.83091552,133.3776593,0
204,101,101,113,119,127.6,38.83091552,133.3776593,0
202,102,102,112,118,127.2,37.8967017,132.7252802,0
205,101,101,112,117,127.2,39.39746185,133.161556,0
206,102,102,112,116,127.6,39.58585606,133.5994012,0
204,101,101,111,115,126.4,39.18979459,132.3359362,0
203,101,101,111,118,126.8,38.63884056,132.5564031,0
204,102,102,111,118,127.4,38.76905983,133.1683145,0
202,102,102,110,118,126.8,38.06520721,132.390332,0
202,102,102,109,117,126.4,38.20261771,132.0469613,0
201,102,102,109,115,125.8,37.91253091,131.3887362,0
205,102,102,110,115,126.8,39.41268831,132.7840352,0
206,102,102,109,116,127,39.83967871,133.1022164,0
209,102,102,108,116,127.4,41.12225675,133.8723272,0
209,101,101,107,116,126.8,41.4651661,133.407646,0
209,103,103,108,115,127.6,40.93702481,134.00597,0
210,102,102,107,115,127.2,41.67205299,133.8521572,0
209,102,102,107,115,127,41.27468958,133.5387584,0
